time,tea_cup,room
0,98.88888889,26
100,87.22222222,26
200,79.38129347,26
300,74.26040379,26
400,69.23177548,26
500,65.55555556,26
600,62.22222222,26
700,60,26
800,57.77777778,26
900,55.55555556,26
1000,53.33333333,26
1100,51.66666667,26
1200,50,26
1300,48.88888889,26
1400,47.13113598,26
1500,45.55555556,26
1600,45,26
1700,44.44444444,26
1800,43.33333333,26
1900,42.22222222,26
2000,41.11111111,26
2100,40.55555556,26
2200,39.72222222,26
2300,38.88888889,26
2400,38.33333333,26
2500,37.77777778,26
2600,37.22222222,26
