,Constant,GrowthA,GrowthB,GrowthC,GrowthD,DeclineA,DeclineB,DeclineC,DeclineD
1,40,0,1,1,1,100,-1,100,100
2,40,1,1.04625,5.95,1.096525,99,-1.04625,95.05,99.903475
3,40,2,1.094639063,10.6525,1.20226388,98,-1.094639063,90.3475,99.79773612
4,40,3,1.145266119,15.119875,1.318075305,97,-1.145266119,85.880125,99.68192469
5,40,4,1.198234677,19.36388125,1.444893758,96,-1.198234677,81.63611875,99.55510624
6,40,5,1.253653031,23.39568719,1.583735375,95,-1.253653031,77.60431281,99.41626463
7,40,6,1.311634484,27.22590283,1.735704061,94,-1.311634484,73.77409717,99.26429594
8,40,7,1.372297579,30.86460769,1.901997855,93,-1.372297579,70.13539231,99.09800214
9,40,8,1.435766342,34.3213773,2.08391549,92,-1.435766342,66.6786227,98.91608451
10,40,9,1.502170535,37.60530844,2.282863115,91,-1.502170535,63.39469156,98.71713689
11,40,10,1.571645922,40.72504302,2.500361091,90,-1.571645922,60.27495698,98.49963891
12,40,11,1.644334546,43.68879086,2.738050787,89,-1.644334546,57.31120914,98.26194921
13,40,12,1.720385019,46.50435132,2.997701239,88,-1.720385019,54.49564868,98.00229876
14,40,13,1.799952826,49.17913376,3.281215553,87,-1.799952826,51.82086624,97.71878445
15,40,14,1.883200644,51.72017707,3.590636853,86,-1.883200644,49.27982293,97.40936315
16,40,15,1.970298674,54.13416821,3.92815359,85,-1.970298674,46.86583179,97.07184641
17,40,16,2.061424987,56.4274598,4.296103934,84,-2.061424987,44.5725402,96.70389607
18,40,17,2.156765893,58.60608681,4.696978972,83,-2.156765893,42.39391319,96.30302103
19,40,18,2.256516316,60.67578247,5.13342435,82,-2.256516316,40.32421753,95.86657565
20,40,19,2.360880195,62.64199335,5.60823998,81,-2.360880195,38.35800665,95.39176002
21,40,20,2.470070904,64.50989368,6.124377331,80,-2.470070904,36.49010632,94.87562267
22,40,21,2.584311684,66.284399,6.684933823,79,-2.584311684,34.715601,94.31506618
23,40,22,2.703836099,67.97017905,7.293143739,78,-2.703836099,33.02982095,93.70685626
24,40,23,2.828888519,69.5716701,7.952365057,77,-2.828888519,31.4283299,93.04763494
25,40,24,2.959724613,71.09308659,8.666061543,76,-2.959724613,29.90691341,92.33393846
26,40,25,3.096611876,72.53843226,9.437779436,75,-3.096611876,28.46156774,91.56222056
27,40,26,3.239830175,73.91151065,10.27111804,74,-3.239830175,27.08848935,90.72888196
28,40,27,3.389672321,75.21593512,11.16969358,73,-3.389672321,25.78406488,89.83030642
29,40,28,3.546444666,76.45513836,12.1370957,72,-3.546444666,24.54486164,88.8629043
30,40,29,3.710467731,77.63238144,13.17683617,71,-3.710467731,23.36761856,87.82316383
31,40,30,3.882076864,78.75076237,14.29228941,70,-3.882076864,22.24923763,86.70771059
32,40,31,4.061622919,79.81322425,15.48662483,69,-4.061622919,21.18677575,85.51337517
33,40,32,4.249472979,80.82256304,16.76273109,68,-4.249472979,20.17743696,84.23726891
34,40,33,4.446011104,81.78143489,18.12313295,67,-4.446011104,19.21856511,82.87686705
35,40,34,4.651639118,82.69236314,19.56990166,66,-4.651639118,18.30763686,81.43009834
36,40,35,4.866777427,83.55774499,21.10456055,65,-4.866777427,17.44225501,79.89543945
37,40,36,5.091865883,84.37985774,22.72798779,64,-5.091865883,16.62014226,78.27201221
38,40,37,5.32736468,85.16086485,24.4403192,63,-5.32736468,15.83913515,76.5596808
39,40,38,5.573755297,85.90282161,26.24085435,62,-5.573755297,15.09717839,74.75914565
40,40,39,5.831541479,86.60768053,28.12796977,61,-5.831541479,14.39231947,72.87203023
41,40,40,6.101250272,87.2772965,30.09904371,60,-6.101250272,13.7227035,70.90095629
